algo1,algo2,method,gamma_pref,treatment_percentage,TUR_algo_1,TUR_algo_2,TE,Percentage_TE
User,Item,Cluster,1.0,0.24,[0.2088195  0.11817542 0.31513928],[0.41787878 0.30103246 0.53612787],[-0.20905928 -0.34315257 -0.08601921  0.00430274],[-1.11295588 -2.59499811 -0.30898837  0.33597573]
Item,Ideal,User-corpus,1.0,0.3,[0.3933505  0.32419638 0.46199989],[0.94652178 0.92264957 0.96636574],[-0.55317128 -0.62418599 -0.48619779  0.00124549],[-1.42578397 -1.91110496 -1.05784236  0.04867155]
Item,Random,User-corpus,1.0,0.3,[0.3933505  0.32419638 0.46199989],[0.36804017 0.34062918 0.39490741],[ 0.02531033 -0.05279281  0.10027664  0.00141579],[ 0.05664499 -0.15713438  0.21948863  0.00875793]
Item,User,User-corpus,1.0,0.3,[0.3933505  0.32419638 0.46199989],[0.06719637 0.02895986 0.12052083],[0.32615413 0.23570871 0.4127464  0.00198098],[0.82714245 0.6782415  0.93043699 0.00406309]
Ideal,Item,User-corpus,1.0,0.3,[0.99292384 0.98964826 0.99565323],[0.22693197 0.17152912 0.28687951],[0.76599187 0.7052597  0.82246656 0.00094412],[0.7714458  0.71061029 0.82715473 0.0009486 ]
Ideal,Random,User-corpus,1.0,0.3,[0.99292384 0.98964826 0.99565323],[0.36804017 0.34062918 0.39490741],[6.24883677e-01 5.97178137e-01 6.53447419e-01 2.01679319e-04],[6.29330588e-01 6.02350018e-01 6.57655182e-01 1.95545689e-04]
Ideal,User,User-corpus,1.0,0.3,[0.99292384 0.98964826 0.99565323],[0.06719637 0.02895986 0.12052083],[9.25727470e-01 8.72440716e-01 9.64267197e-01 5.50730607e-04],[9.32323134e-01 8.78426003e-01 9.70796835e-01 5.53483923e-04]
Random,Item,User-corpus,1.0,0.3,[0.45041714 0.43764484 0.46365289],[0.22693197 0.17152912 0.28687951],[0.22348517 0.16012549 0.28131378 0.00100675],[0.49599035 0.36117282 0.61988743 0.00474841]
Random,Ideal,User-corpus,1.0,0.3,[0.45041714 0.43764484 0.46365289],[0.94652178 0.92264957 0.96636574],[-4.96104640e-01 -5.23152543e-01 -4.65330870e-01  2.15562203e-04],[-1.10197468 -1.18632837 -1.01347283  0.00199203]
Random,User,User-corpus,1.0,0.3,[0.45041714 0.43764484 0.46365289],[0.06719637 0.02895986 0.12052083],[0.38322076 0.32740659 0.42371538 0.00059638],[0.85076166 0.73023943 0.93577135 0.00270828]
User,Ideal,User-corpus,1.0,0.3,[0.08998339 0.05180071 0.15269909],[0.94652178 0.92264957 0.96636574],[-8.56538391e-01 -9.01436722e-01 -7.89490246e-01  8.38221450e-04],[-10.41172422 -17.23561724  -5.16181842  10.23079071]
User,Random,User-corpus,1.0,0.3,[0.08998339 0.05180071 0.15269909],[0.36804017 0.34062918 0.39490741],[-0.27805678 -0.32652932 -0.20722737  0.00095124],[-3.44056097 -6.1155974  -1.39116462  1.60974905]
User,Item,User-corpus,1.0,0.3,[0.08998339 0.05180071 0.15269909],[0.22693197 0.17152912 0.28687951],[-0.13694858 -0.2129564  -0.05222917  0.00182295],[-1.74689743 -3.73496885 -0.38784194  0.80121548]
Item,Ideal,Naive,1.0,0.1,[0.67973704 0.5345493  0.83725903],[0.99942829 0.9962963  1.        ],[-0.31969125 -0.46452162 -0.16272305  0.00592737],[-0.49083775 -0.870562   -0.19435174  0.03186559]
Item,Random,Naive,1.0,0.1,[0.45611982 0.39204415 0.51429679],[0.47272482 0.43471528 0.50910173],[-0.016605   -0.08941312  0.05086492  0.00128058],[-0.04089872 -0.21893235  0.09980711  0.00648858]
Item,User,Naive,1.0,0.1,[0.44333897 0.37995046 0.50013901],[0.43572819 0.28033333 0.60310887],[ 0.00761077 -0.15124077  0.1656744   0.00653603],[ 0.01505931 -0.34634941  0.36695895  0.03257834]
Ideal,Item,Naive,1.0,0.1,[0.99942801 0.99879227 0.99987923],[0.96321283 0.90245791 0.9968254 ],[0.03621519 0.00275253 0.09717246 0.00058017],[0.03623574 0.00275509 0.09720839 0.00061076]
Ideal,Random,Naive,1.0,0.1,[0.99941687 0.99880526 0.9998779 ],[0.47246695 0.43423611 0.51111111],[5.26949920e-01 4.88214210e-01 5.65619420e-01 3.89913482e-04],[5.27257029e-01 4.88543819e-01 5.65701155e-01 3.51080606e-04]
Ideal,User,Naive,1.0,0.1,[0.99944213 0.9988764  0.99988053],[0.94597608 0.87106944 0.99028274],[0.05346604 0.00916465 0.1279525  0.00091827],[0.0534953  0.00916805 0.12807774 0.00099738]
Random,Item,Naive,1.0,0.1,[0.47250951 0.46193679 0.48271886],[0.62981645 0.49659179 0.76853632],[-0.15730694 -0.29693619 -0.02132702  0.00494328],[-0.33316483 -0.62951358 -0.04497884  0.02193905]
Random,Ideal,Naive,1.0,0.1,[0.47224307 0.46159182 0.48243502],[0.99945599 0.9962963  1.        ],[-5.27212910e-01 -5.38384390e-01 -5.16035540e-01  3.25041061e-05],[-1.11668556e+00 -1.16641623e+00 -1.06939764e+00  6.08081645e-04]
Random,User,Naive,1.0,0.1,[0.4724905  0.46221734 0.48350941],[0.21992201 0.15031863 0.32063988],[0.25256849 0.1545     0.32348157 0.00185826],[0.53447719 0.3197335  0.68472023 0.00810856]
User,Ideal,Naive,1.0,0.1,[0.14733748 0.08623115 0.30777823],[0.99936347 0.9962963  1.        ],[-0.85202599 -0.91304801 -0.69217904  0.00317466],[ -6.59083276 -10.59673685  -2.24896076   5.10984286]
User,Random,Naive,1.0,0.1,[0.1004525  0.07234555 0.14595913],[0.47233317 0.43555556 0.51111111],[-0.37188067 -0.41819225 -0.31356874  0.00071234],[-3.83255601 -5.47916333 -2.20285706  0.64321576]
User,Item,Naive,1.0,0.1,[0.12987389 0.08502898 0.21561587],[0.38812992 0.23456229 0.56768238],[-0.25825603 -0.44855289 -0.10148356  0.00783899],[-2.15869792 -4.56039587 -0.61396289  0.99974037]
Item,Ideal,Split,1.0,0.1,[0.43935123 0.37608586 0.49901203],[0.99941985 0.9962963  1.        ],[-0.56006862 -0.62297115 -0.49998765  0.00098429],[-1.28644082 -1.65648511 -1.00032895  0.02766512]
Item,Random,Split,1.0,0.1,[0.43925984 0.37168195 0.50051469],[0.4728098  0.43611111 0.51111111],[-0.03354995 -0.10674363  0.03786316  0.00136083],[-0.08201784 -0.27897172  0.07987584  0.00803102]
Item,User,Split,1.0,0.1,[0.44023707 0.37215507 0.49797103],[0.16473377 0.058875   0.32782407],[0.27550329 0.08597086 0.40154746 0.00648093],[0.62224862 0.21954708 0.86701364 0.02751837]
Ideal,Item,Split,1.0,0.1,[0.99940166 0.99877866 0.9998779 ],[0.23601067 0.13051389 0.37222222],[0.763391   0.62715741 0.86881342 0.00380035],[0.7638484  0.62754672 0.86933031 0.00413298]
Ideal,Random,Split,1.0,0.1,[0.99939964 0.99873737 0.9998779 ],[0.47261174 0.43491182 0.51111111],[5.26787900e-01 4.88407680e-01 5.64490480e-01 3.76704528e-04],[5.27104193e-01 4.88642817e-01 5.64828081e-01 3.62216956e-04]
Ideal,User,Split,1.0,0.1,[0.99943273 0.99886364 0.99988053],[0.16804065 0.06388258 0.32793981],[0.83139208 0.6714637  0.93549621 0.00453673],[0.83186279 0.67186142 0.93609346 0.00489347]
Random,Item,Split,1.0,0.1,[0.4720682  0.46092796 0.48266565],[0.2370578  0.13110494 0.38589782],[0.2350104  0.08908049 0.34432882 0.00423988],[0.4976053  0.18764685 0.72496811 0.01833017]
Random,Ideal,Split,1.0,0.1,[0.47215339 0.46174142 0.48321558],[0.99940504 0.9962963  1.        ],[-5.27251650e-01 -5.37594620e-01 -5.15576550e-01  3.15490555e-05],[-1.11696808e+00 -1.16336142e+00 -1.06637933e+00  5.85351114e-04]
Random,User,Split,1.0,0.1,[0.47195383 0.46098595 0.4821762 ],[0.16192937 0.06107323 0.30975694],[0.31002446 0.16581672 0.40845617 0.00383134],[0.65683279 0.34784717 0.87155272 0.01887775]
User,Ideal,Split,1.0,0.1,[0.10024434 0.07101312 0.15570244],[0.99941114 0.9962963  1.        ],[-8.99166790e-01 -9.28448650e-01 -8.42824070e-01  4.77116872e-04],[ -9.3142466  -13.081905    -5.41355703   3.26522823]
User,Random,Split,1.0,0.1,[0.10019083 0.07068524 0.15522441],[0.47184033 0.43888889 0.50953263],[-0.3716495  -0.4201277  -0.31610772  0.00070414],[-3.88945744 -5.68577934 -2.0960645   0.86398317]
User,Item,Split,1.0,0.1,[0.10063233 0.07133951 0.14951394],[0.23564859 0.12636806 0.36946047],[-0.13501626 -0.28174693 -0.01161052  0.00474891],[-1.436013   -3.27700946 -0.09343877  0.6742596 ]
Item,Ideal,Cluster,1.0,0.07,[0.54970579 0.44296756 0.6739784 ],[0.99940076 0.99444444 1.        ],[-0.44969496 -0.55386951 -0.3260216   0.00337845],[-0.84074585 -1.24634158 -0.48372718  0.04219892]
Item,Random,Cluster,1.0,0.06,[0.46135793 0.39349991 0.52223471],[0.47157771 0.43608796 0.50927778],[-0.01021977 -0.09135947  0.06358918  0.00156244],[-0.02800986 -0.23121754  0.12506585  0.00799198]
Item,User,Cluster,1.0,0.08,[0.44487406 0.37796631 0.50400007],[0.38791468 0.20546296 0.59633333],[ 0.05695938 -0.14295955  0.24933856  0.01001522],[ 0.12424893 -0.32967306  0.5335705   0.05540619]
Ideal,Item,Cluster,1.0,0.11,[0.99942403 0.99875084 0.99987926],[0.91820128 0.73587607 0.99524603],[0.08122275 0.0039612  0.26398664 0.00440007],[0.0812671  0.00396502 0.26402289 0.00454242]
Ideal,Random,Cluster,1.0,0.07,[0.9994028  0.99875084 1.        ],[0.4718485  0.43472222 0.50769231],[5.27554300e-01 4.91667030e-01 5.65160020e-01 3.51495443e-04],[5.27868789e-01 4.92046579e-01 5.65226581e-01 3.47984848e-04]
Ideal,User,Cluster,1.0,0.11,[0.99942179 0.99875156 0.99987923],[0.85986803 0.61186508 0.9857381 ],[0.13955376 0.01343519 0.38736619 0.00909936],[0.13963378 0.01344839 0.38766419 0.00943432]
Random,Item,Cluster,1.0,0.07,[0.47193779 0.46154782 0.48227528],[0.61718702 0.47676768 0.75559524],[-0.14524922 -0.2864205  -0.00122792  0.00529303],[-0.30818068 -0.60978598 -0.00258194  0.02748295]
Random,Ideal,Cluster,1.0,0.13,[0.47240821 0.46179775 0.4830362 ],[0.99925985 0.99305556 1.        ],[-5.26851640e-01 -5.37934420e-01 -5.14978120e-01  3.42950665e-05],[-1.11554153e+00 -1.16503265e+00 -1.06880168e+00  6.46634418e-04]
Random,User,Cluster,1.0,0.14,[0.47226308 0.4617823  0.48289804],[0.21510414 0.11666667 0.37948718],[0.25715893 0.09323094 0.35519549 0.00446594],[0.54434099 0.19545235 0.75154137 0.01943034]
User,Ideal,Cluster,1.0,0.13,[0.19583594 0.0845048  0.40614943],[0.9993601  0.99305556 1.        ],[-0.80352416 -0.91413769 -0.59385057  0.00667585],[ -5.45527955 -10.80828849  -1.46214823   8.45104579]
User,Random,Cluster,1.0,0.14,[0.10189656 0.07440464 0.14736104],[0.47103493 0.43456229 0.50555556],[-0.36913838 -0.41476009 -0.31319844  0.00067125],[-3.76493778 -5.35988696 -2.18063867  0.67727939]
User,Item,Cluster,1.0,0.06,[0.13463571 0.08076779 0.21471362],[0.4216183  0.21107143 0.60958486],[-0.28698259 -0.46891455 -0.09497962  0.00909955],[-2.30495029 -4.72815997 -0.66940176  1.11435244]
Item,Ideal,User-corpus,1.0,0.1,[0.43549673 0.39587093 0.46320139],[0.38022487 0.28738215 0.48330303],[ 0.05527186 -0.04444009  0.13586953  0.00456225],[ 0.12721381 -0.10768265  0.32104441  0.02438656]
Item,Random,User-corpus,1.0,0.1,[0.4225356  0.36589337 0.47774586],[0.20890812 0.16478632 0.24231481],[0.21362748 0.12811332 0.30989864 0.00298714],[0.49857124 0.34606985 0.6477445  0.00785273]
Item,User,User-corpus,1.0,0.1,[0.44497757 0.4041481  0.48957273],[0.04931538 0.01572811 0.08949074],[0.39566219 0.32101153 0.46752607 0.00185597],[0.88764465 0.78594549 0.96685332 0.00337704]
Ideal,Item,User-corpus,1.0,0.1,[0.99826668 0.99778865 0.99911833],[0.07061283 0.03905754 0.10771495],[9.27653851e-01 8.90740685e-01 9.58800688e-01 4.55609414e-04],[9.29267757e-01 8.92116521e-01 9.60858956e-01 4.62961919e-04]
Ideal,Random,User-corpus,1.0,0.1,[0.99827283 0.99762354 0.99906777],[0.20930197 0.18692842 0.22815527],[7.88970860e-01 7.69640685e-01 8.11618349e-01 2.17321157e-04],[7.90335808e-01 7.71339730e-01 8.12798803e-01 2.17823236e-04]
Ideal,User,User-corpus,1.0,0.1,[0.99815425 0.99721599 0.99882366],[0.0380762  0.01494444 0.07159407],[9.60078048e-01 9.26655541e-01 9.83255233e-01 3.72811894e-04],[9.61856767e-01 9.28279120e-01 9.85028045e-01 3.80452625e-04]
Random,Item,User-corpus,1.0,0.1,[0.4664368  0.45666442 0.4751357 ],[0.07839198 0.04013889 0.11      ],[0.38804482 0.35614993 0.41980829 0.00044398],[0.8321536  0.76402235 0.91225202 0.0023383 ]
Random,Ideal,User-corpus,1.0,0.1,[0.46419365 0.45717973 0.46834642],[0.34301503 0.26982906 0.39367759],[0.12117862 0.07161872 0.1971553  0.00181418],[0.26107346 0.15391471 0.42220261 0.00833994]
Random,User,User-corpus,1.0,0.1,[0.46822861 0.45928831 0.48118354],[0.03303477 0.01356313 0.05329167],[4.35193831e-01 4.13611111e-01 4.54930686e-01 1.90662572e-04],[9.29436918e-01 8.86083885e-01 9.70949561e-01 6.68092916e-04]
User,Ideal,User-corpus,1.0,0.1,[0.0927879  0.06428806 0.12715811],[0.38395062 0.30336034 0.47357407],[-0.29116271 -0.35318046 -0.21342274  0.00203602],[-3.29255805 -4.92911373 -1.96267083  0.81655964]
User,Random,User-corpus,1.0,0.1,[0.09461748 0.06095211 0.15544632],[0.21151703 0.17460069 0.26510417],[-0.11689955 -0.17391732 -0.06097801  0.00111082],[-1.42732236 -2.41502008 -0.48271275  0.47488372]
User,Item,User-corpus,1.0,0.1,[0.10296636 0.06623355 0.15207382],[0.07462983 0.03018519 0.1007209 ],[ 0.02833653 -0.01467859  0.07697059  0.00088473],[ 0.23956137 -0.18253633  0.72816707  0.07759149]
Item,Ideal,Naive,1.0,0.9,[0.96356691 0.9        0.99630556],[0.99944905 0.99881765 0.99988053],[-0.03588214 -0.0992777  -0.00323845  0.00060024],[-0.03796796 -0.11030855 -0.00325046  0.00079206]
Item,Random,Naive,1.0,0.9,[0.62931206 0.49505892 0.77040123],[0.47241286 0.46098148 0.48279846],[0.15689921 0.02332348 0.30091527 0.00501466],[0.24005262 0.04583532 0.38813112 0.00746524]
Item,User,Naive,1.0,0.9,[0.3905529  0.22357639 0.56672222],[0.13045676 0.08426915 0.22350314],[0.26009614 0.09683393 0.4354024  0.00745969],[0.65171608 0.36423618 0.81291848 0.01301889]
Ideal,Item,Naive,1.0,0.9,[0.99935218 0.99583333 1.        ],[0.67897176 0.52877075 0.83442662],[0.32038042 0.16520451 0.47122925 0.00609454],[0.32058975 0.16520451 0.47122925 0.00620265]
Ideal,Random,Naive,1.0,0.9,[0.99942893 0.9962963  1.        ],[0.47238543 0.46153704 0.48269108],[5.2704350e-01 5.1654040e-01 5.3807785e-01 3.0186755e-05],[5.27344249e-01 5.16990156e-01 5.38264099e-01 2.90126690e-05]
Ideal,User,Naive,1.0,0.9,[0.99946061 0.9968254  1.        ],[0.1485845  0.08782477 0.29363598],[0.85087612 0.70636402 0.91215281 0.00275595],[0.85133665 0.70636402 0.91217523 0.0033006 ]
Random,Item,Naive,1.0,0.9,[0.47295084 0.43555051 0.50864815],[0.45514449 0.38970699 0.51260745],[ 0.01780635 -0.0542399   0.09175477  0.00138708],[ 0.03613807 -0.12277287  0.18977073  0.00603441]
Random,Ideal,Naive,1.0,0.9,[0.47206454 0.43333333 0.51111111],[0.99941352 0.99880942 0.99987793],[-5.27348980e-01 -5.65842480e-01 -4.88255630e-01  3.91745581e-04],[-1.12072922 -1.30579034 -0.95528275  0.00774301]
Random,User,Naive,1.0,0.9,[0.47289893 0.43534933 0.50891358],[0.10032744 0.07411403 0.14120334],[0.37257149 0.32027592 0.41762278 0.0006167 ],[0.78755585 0.70088842 0.84524424 0.00137877]
User,Ideal,Naive,1.0,0.9,[0.94704559 0.86248843 0.99091414],[0.99940986 0.998779   0.9998779 ],[-0.05236427 -0.13690702 -0.00830138  0.00107634],[-0.0566265  -0.15873492 -0.00837591  0.00149216]
User,Random,Naive,1.0,0.9,[0.21947241 0.14722222 0.3145    ],[0.47211001 0.46048988 0.48309627],[-0.25263761 -0.32491313 -0.16040034  0.00176128],[-1.23120813 -2.23595866 -0.51049118  0.18796266]
User,Item,Naive,1.0,0.9,[0.43679396 0.28884921 0.58519841],[0.44515819 0.3787499  0.50525054],[-0.00836423 -0.15720777  0.14036448  0.00576252],[-0.052088   -0.50654236  0.25442162  0.04115635]
Item,Ideal,Split,1.0,0.9,[0.23936231 0.13029545 0.37642361],[0.99942599 0.99876543 0.99987923],[-0.76006367 -0.86932823 -0.62251043  0.00396443],[-3.50915409 -6.66729765 -1.65375038  1.75330013]
Item,Random,Split,1.0,0.9,[0.23698129 0.12222222 0.3944537 ],[0.47238106 0.46210382 0.48327778],[-0.23539978 -0.35000336 -0.0811303   0.0047046 ],[-1.17163164 -2.86317393 -0.20667049  0.48518328]
Item,User,Split,1.0,0.9,[0.23788424 0.12837963 0.38386364],[0.10024747 0.07234835 0.1493318 ],[0.13763677 0.01820098 0.28568031 0.00465595],[0.54376322 0.12939084 0.77617925 0.02729709]
Ideal,Item,Split,1.0,0.9,[0.99948814 0.99666319 1.        ],[0.43956563 0.37287998 0.50000631],[0.55992252 0.49958709 0.62706964 0.00105762],[0.56020923 0.49997399 0.62712002 0.00105254]
Ideal,Random,Split,1.0,0.9,[0.99939407 0.99628968 1.        ],[0.47209729 0.46164623 0.48326951],[5.27296780e-01 5.15384120e-01 5.38327700e-01 3.42570715e-05],[5.27615591e-01 5.16275016e-01 5.38327695e-01 3.10404603e-05]
Ideal,User,Split,1.0,0.9,[0.99944959 0.9962963  1.        ],[0.09991997 0.07027283 0.15008262],[8.99529620e-01 8.48473820e-01 9.29065860e-01 4.22680453e-04],[9.00024145e-01 8.49467734e-01 9.29682350e-01 3.73372586e-04]
Random,Item,Split,1.0,0.9,[0.47105504 0.43635732 0.50794643],[0.4370753  0.36775291 0.49803993],[ 0.03397974 -0.03817107  0.11152428  0.00145829],[ 0.07059914 -0.08376094  0.23211193  0.0067408 ]
Random,Ideal,Split,1.0,0.9,[0.47256101 0.43333333 0.50808712],[0.99942678 0.99880526 0.99987923],[-5.26865770e-01 -5.65974650e-01 -4.91034180e-01  3.65477538e-04],[-1.11834772 -1.30609534 -0.96622498  0.00737613]
Random,User,Split,1.0,0.9,[0.47137195 0.43444444 0.50686508],[0.10132509 0.07198068 0.15532242],[0.37004686 0.30607173 0.42105771 0.00086043],[0.78472804 0.67277466 0.84869654 0.00204373]
User,Ideal,Split,1.0,0.9,[0.16098572 0.0592284  0.31256944],[0.99941747 0.99876543 0.99987793],[-0.83843175 -0.94002076 -0.68682065  0.00417211],[ -6.47742405 -15.87130115  -2.19734406  13.52665282]
User,Random,Split,1.0,0.9,[0.16383543 0.05832562 0.31671296],[0.47210284 0.46221914 0.48261657],[-0.30826741 -0.41403957 -0.1559171   0.0043359 ],[-2.46411942 -7.15748868 -0.4920097   2.87720315]
User,Item,Split,1.0,0.9,[0.16410832 0.05888492 0.32597222],[0.44002137 0.37738952 0.50138365],[-0.27591305 -0.40608223 -0.09471252  0.00630929],[-2.25204474 -6.79526447 -0.33256552  2.87554082]
Item,Ideal,Cluster,1.0,0.89,[0.92251513 0.77219017 0.99444444],[0.99942139 0.99885057 0.99988056],[-0.07690626 -0.22732285 -0.00493519  0.00321847],[-0.08827743 -0.29438721 -0.00496276  0.00586055]
Item,Random,Cluster,1.0,0.89,[0.61627305 0.47777778 0.74607143],[0.47246932 0.4614199  0.4827957 ],[0.14380373 0.00330243 0.27436508 0.00478153],[0.22208391 0.00691299 0.36820513 0.00935801]
Item,User,Cluster,1.0,0.89,[0.42221951 0.21881349 0.62064374],[0.13629549 0.08445341 0.21913792],[0.28592401 0.09464713 0.47838301 0.00958281],[0.66070342 0.38652896 0.81930667 0.012783  ]
Ideal,Item,Cluster,1.0,0.93,[0.99935278 0.99305556 1.        ],[0.54802662 0.44135226 0.66669444],[0.45132616 0.33330556 0.55862082 0.00330376],[0.45164543 0.33330556 0.55864774 0.00364143]
Ideal,Random,Cluster,1.0,0.87,[0.99926553 0.99305556 1.        ],[0.47231301 0.46162405 0.48309304],[5.26952520e-01 5.15214860e-01 5.38058750e-01 3.39600238e-05],[5.27337584e-01 5.16605582e-01 5.38058748e-01 2.98803339e-05]
Ideal,User,Cluster,1.0,0.86,[0.9993101  0.99305556 1.        ],[0.19604671 0.08526268 0.40600211],[0.8032634  0.59399789 0.9132483  0.00663271],[0.80386922 0.59399789 0.91447889 0.0098476 ]
Random,Item,Cluster,1.0,0.94,[0.47178599 0.44074074 0.50598765],[0.46252624 0.38826872 0.52522123],[ 0.00925975 -0.06217172  0.08700704  0.00144824],[ 0.01821178 -0.13574557  0.17877678  0.0066766 ]
Random,Ideal,Cluster,1.0,0.89,[0.47173567 0.4361034  0.50427778],[0.99941021 0.99876543 0.99987926],[-5.2767454e-01 -5.6365036e-01 -4.9496056e-01  3.0705231e-04],[-1.1217386  -1.2927292  -0.98126882  0.00679784]
Random,User,Cluster,1.0,0.89,[0.47187607 0.43333333 0.50556624],[0.10160802 0.07241369 0.15633175],[0.37026805 0.30904014 0.41809436 0.00077395],[0.78424133 0.67001363 0.84901454 0.0017941 ]
User,Ideal,Cluster,1.0,0.92,[0.86152608 0.63168651 0.98333333],[0.99942727 0.99881797 0.99987923],[-0.13790119 -0.36778701 -0.01594858  0.00805591],[-0.17585103 -0.58223076 -0.0162189   0.0222496 ]
User,Random,Cluster,1.0,0.89,[0.21793397 0.12121212 0.36154321],[0.47252194 0.46207655 0.4828995 ],[-0.25458797 -0.35516002 -0.11190537  0.00385079],[-1.35360677 -2.92990083 -0.31142395  0.50123001]
User,Item,Cluster,1.0,0.92,[0.38666557 0.19625    0.57534259],[0.44511199 0.38045826 0.50688684],[-0.05844642 -0.25399718  0.1366084   0.00992898],[-0.23938907 -1.23110142  0.2384862   0.14423209]
Item,Ideal,User-corpus,1.0,0.9,[0.07830296 0.04788462 0.13805556],[0.99794769 0.99722    0.99848656],[-9.19644724e-01 -9.49806149e-01 -8.59773336e-01  8.10853961e-04],[-13.14451649 -20.02094218  -6.28809912  17.07644461]
Item,Random,User-corpus,1.0,0.9,[0.08418519 0.05611111 0.12236111],[0.46599515 0.45817776 0.47397262],[-3.81809967e-01 -4.05636956e-01 -3.46707428e-01  3.60994178e-04],[-4.86516339 -7.22097771 -2.8611643   1.92418339]
Item,User,User-corpus,1.0,0.9,[0.07288448 0.03284722 0.10825397],[0.10510266 0.08182002 0.14134231],[-0.03221818 -0.09264038  0.01432971  0.0009945 ],[-0.66604634 -2.3704202   0.13085039  0.63762875]
Ideal,Item,User-corpus,1.0,0.9,[0.37814518 0.34297348 0.44791667],[0.45994344 0.43477238 0.47421176],[-0.08179826 -0.11956978 -0.0148191   0.00097337],[-0.22341922 -0.34066989 -0.04021124  0.00771247]
Ideal,Random,User-corpus,1.0,0.9,[0.36278515 0.30730556 0.43261905],[0.46492172 0.45707925 0.47523579],[-0.10213656 -0.15838074 -0.03386193  0.00175793],[-0.29882084 -0.51551715 -0.0792296   0.02158993]
Ideal,User,User-corpus,1.0,0.9,[0.37267128 0.2927381  0.45795833],[0.09250333 0.07599116 0.11683951],[0.28016795 0.20684668 0.36798962 0.00358314],[0.74663351 0.68512015 0.81470177 0.00216496]
Random,Item,User-corpus,1.0,0.9,[0.2150922  0.18063692 0.26400155],[0.43408379 0.38318064 0.47173591],[-0.21899158 -0.28993421 -0.1724546   0.00165782],[-1.04717359 -1.60839903 -0.65648996  0.0880914 ]
Random,Ideal,User-corpus,1.0,0.9,[0.20946798 0.17748512 0.25295635],[0.99832784 0.99710239 0.9989221 ],[-7.88859854e-01 -8.21436982e-01 -7.44344851e-01  6.20196405e-04],[-3.82948031 -4.62921597 -2.94518568  0.29825538]
Random,User,User-corpus,1.0,0.9,[0.20390504 0.17699941 0.23721836],[0.08476951 0.06985833 0.11467452],[0.11913552 0.08059052 0.1497746  0.00046536],[0.58219548 0.4201297  0.66793856 0.0055638 ]
User,Ideal,User-corpus,1.0,0.9,[0.03792835 0.00917196 0.07814815],[0.99789725 0.99712859 0.99871296],[-9.59968896e-01 -9.88837003e-01 -9.19547478e-01  5.55078060e-04],[ -41.69778121 -111.59985337  -11.85679481 1076.36041456]
User,Random,User-corpus,1.0,0.9,[0.03732916 0.01120833 0.05840278],[0.46555225 0.45735004 0.47328752],[-4.28223090e-01 -4.53756566e-01 -4.05949063e-01  2.07220080e-04],[-16.91586787 -56.76769273  -7.02642442 304.38671095]
User,Item,User-corpus,1.0,0.9,[0.04061145 0.0188966  0.05672068],[0.43541481 0.38158797 0.48368042],[-0.39480336 -0.44273169 -0.34204025  0.00084677],[-11.35369081 -22.71255778  -6.89407769  28.83509704]
